motif	HGNC	sub_cluster
DUX4.H13CORE.0.P.B	DUX4	1138
DUXA.H13CORE.0.SM.B	DUXA	1139
ESX1.H13CORE.0.SM.B	ESX1	1140
ESX1.H13CORE.1.S.B	ESX1	1141
GSC.H13CORE.0.SM.B	GSC	1142
GSC2.H13CORE.0.SM.B	GSC2	1143
HESX1.H13CORE.0.SM.B	HESX1	1144
HESX1.H13CORE.1.S.B	HESX1	1145
ISX.H13CORE.0.SM.B	ISX	1146
ISX.H13CORE.1.S.B	ISX	1147
ISX.H13CORE.2.SM.B	ISX	1148
LEUTX.H13CORE.0.PSGB.A	LEUTX	1149
MIXL1.H13CORE.0.SM.B	MIXL1	1150
MIXL1.H13CORE.1.S.B	MIXL1	1151
OTX1.H13CORE.0.SM.B	OTX1	1152
OTX1.H13CORE.1.S.B	OTX1	1153
OTX2.H13CORE.0.PSM.A	OTX2	1154
PHX2A.H13CORE.0.PS.A	PHOX2A	1155
PHX2A.H13CORE.1.SM.B	PHOX2A	1156
PHX2B.H13CORE.0.PSM.A	PHOX2B	1157
PHX2B.H13CORE.1.SM.B	PHOX2B	1158
PITX1.H13CORE.0.PSM.A	PITX1	1159
PITX1.H13CORE.1.S.B	PITX1	1160
PITX2.H13CORE.0.SM.B	PITX2	1161
PITX3.H13CORE.0.SM.B	PITX3	1162
PITX3.H13CORE.1.S.B	PITX3	1163
PROP1.H13CORE.0.PSM.A	PROP1	1164
PROP1.H13CORE.1.P.C	PROP1	1165
PRRX1.H13CORE.0.S.B	PRRX1	1166
PRRX1.H13CORE.1.S.B	PRRX1	1167
PRRX2.H13CORE.0.SM.B	PRRX2	1168
PRRX2.H13CORE.1.S.B	PRRX2	1169
RAX2.H13CORE.0.S.B	RAX2	1170
RHXF1.H13CORE.0.SM.B	RHOXF1	1171
RHXF2.H13CORE.0.SM.B	RHOXF2	1172
RX.H13CORE.0.SM.B	RAX	1173
SHOX.H13CORE.0.SM.B	SHOX	1174
SHOX.H13CORE.1.S.B	SHOX	1175
SHOX2.H13CORE.0.S.B	SHOX2	1176
SHOX2.H13CORE.1.S.C	SHOX2	1177
TPRX1.H13CORE.0.PSGIB.A	TPRX1	1178
UNC4.H13CORE.0.S.B	UNCX	1179
UNC4.H13CORE.1.S.B	UNCX	1180
VSX1.H13CORE.0.SM.B	VSX1	1181
VSX1.H13CORE.1.SM.B	VSX1	1182
VSX2.H13CORE.0.PSM.A	VSX2	1183
VSX2.H13CORE.1.S.B	VSX2	1184
AHR.H13CORE.0.P.B	AHR	1185
AHRR.H13CORE.0.P.C	AHRR	1186
ARNT.H13CORE.0.P.B	ARNT	1187
ARNT.H13CORE.1.P.B	ARNT	1188
ARNT2.H13CORE.0.P.B	ARNT2	1189
ARNT2.H13CORE.1.P.B	ARNT2	1190
ARNT2.H13CORE.2.S.C	ARNT2	1191
BMAL1.H13CORE.0.PSM.A	ARNTL	1192
CLOCK.H13CORE.0.M.C	CLOCK	1193
CLOCK.H13CORE.1.PS.A	CLOCK	1194
EPAS1.H13CORE.0.P.B	EPAS1	1195
HIF1A.H13CORE.0.P.B	HIF1A	1196
HIF1A.H13CORE.1.P.B	HIF1A	1197
HIF3A.H13CORE.0.P.C	HIF3A	1198
HIF3A.H13CORE.1.P.C	HIF3A	1199
NPAS2.H13CORE.0.M.B	NPAS2	1200
NPAS2.H13CORE.1.M.C	NPAS2	1201
NPAS2.H13CORE.2.S.B	NPAS2	1202
NPAS3.H13CORE.0.P.C	NPAS3	1203
NPAS4.H13CORE.0.P.B	NPAS4	1204
SOLH2.H13CORE.0.S.C	SOHLH2	1205
PAX1.H13CORE.0.SM.B	PAX1	1206
PAX2.H13CORE.0.SM.B	PAX2	1207
PAX5.H13CORE.0.PS.A	PAX5	1208
PAX8.H13CORE.0.PSM.A	PAX8	1209
PAX9.H13CORE.0.SM.B	PAX9	1210
PAX3.H13CORE.0.PS.A	PAX3	1211
PAX3.H13CORE.1.SM.B	PAX3	1212
PAX3.H13CORE.2.P.C	PAX3	1213
PAX3.H13CORE.3.S.B	PAX3	1214
PAX4.H13CORE.0.SM.B	PAX4	1215
PAX4.H13CORE.1.S.C	PAX4	1216
PAX6.H13CORE.0.PSM.A	PAX6	1217
PAX7.H13CORE.0.P.B	PAX7	1218
PAX7.H13CORE.1.S.B	PAX7	1219
PAX7.H13CORE.2.PM.A	PAX7	1220
HMBX1.H13CORE.0.PSM.A	HMBOX1	1221
HNF1A.H13CORE.0.PS.A	HNF1A	1222
HNF1B.H13CORE.0.PS.A	HNF1B	1223
HNF1B.H13CORE.1.P.D	HNF1B	1224
P5F1B.H13CORE.0.S.B	POU5F1B	1225
PIT1.H13CORE.0.SM.B	POU1F1	1226
PIT1.H13CORE.1.S.B	POU1F1	1227
PO2F1.H13CORE.0.PS.A	POU2F1	1228
PO2F2.H13CORE.0.PSM.A	POU2F2	1229
