motif	cluster	HGNC
PAX8_MA2094.1	C_PAX9	PAX8
ZNF524_MA2096.1	C_ZNF524	ZNF524
ZNF75A_MA2097.1	C_ZNF75A	ZNF75A
ZNF766_MA2098.1	C_ZNF766	ZNF766
ZNF770_MA2099.1	C_ZNF770	ZNF770
ZSCAN16_MA2100.1	C_ZSCAN16	ZSCAN16
ZNF677_MA2101.1	C_ZNF677	ZNF677
ZBTB17_MA2102.1	C_ZBTB17	ZBTB17
FOXP4_MA2117.1	C_FOXP4	FOXP4
FOXS1_MA2118.1	C_FOXP4	FOXS1
HOXA3_MA2119.1	C_mix-a	HOXA3
ZNF184_MA2120.1	C_ZNF184	ZNF184
ZNF213_MA2121.1	C_ZNF213	ZNF213
BCL11A_MA2324.1	C_BCL11A	BCL11A
EPAS1_MA2325.1	C_EPAS1	EPAS1
IKZF2_MA2326.1	C_IKZF2	IKZF2
PGR_MA2327.1	C_PGR	PGR
ZBED4_MA2328.1	C_ZBED4	ZBED4
ZBTB11_MA2329.1	C_ETS1	ZBTB11
ZBTB24_MA2330.1	C_ZBTB24	ZBTB24
ZNF157_MA2331.1	C_ZNF157	ZNF157
ZNF175_MA2332.1	C_GABPA	ZNF175
ZNF35_MA2333.1	C_ZNF35	ZNF35
ZNF547_MA2334.1	C_ZNF547	ZNF547
ZNF558_MA2335.1	C_ZNF558	ZNF558
ZSCAN21_MA2336.1	C_ZSCAN21	ZSCAN21
FEZF2_MA2341.1	C_FEZF2	FEZF2
ALX3_MA0634.2	C_mix-a	ALX3
TBX21_MA0690.3	C_TBX2	TBX21
ARGFX_MA1463.2	C_mix-a	ARGFX
ARNT2_MA1464.2	C_ARNT2	ARNT2
ASCL1_MA1100.3	C_Twist2	ASCL1
ASCL1_MA1631.2	C_TCF3	ASCL1
ATF2_MA1632.2	C_FOSL2::JUN	ATF2
ATF3_MA0605.3	C_FOSL2::JUN	ATF3
ATF4_MA0833.3	C_CEBPG	ATF4
ATF6_MA1466.2	C_CREB3	ATF6
ATF7_MA0834.2	C_FOSL2::JUN	ATF7
MAFK_MA0496.4	C_MAFG::NFE2L1	MAFK
BACH2_MA1101.3	C_FOS::JUND	BACH2
BACH2_MA1470.2	C_BACH2	BACH2
BARHL1_MA0877.4	C_BARHL1	BARHL1
BARHL2_MA0635.2	C_BARHL1	BARHL2
BARX1_MA0875.2	C_Dlx2	BARX1
BARX2_MA1471.2	C_BARX2	BARX2
BATF_MA1634.2	C_FOS::JUND	BATF
BATFJUN_MA0462.3	C_FOS::JUND	BATF::JUN
JUN_MA0488.2	C_FOSL2::JUN	JUN
BATF3_MA0835.3	C_FOS::JUND	BATF3
BCL6_MA0463.3	C_BCL6	BCL6
BHLHE22_MA1635.2	C_Twist2	BHLHE22
BHLHE23_MA0817.2	C_ATOH7	BHLHE23
BHLHE40_MA0464.3	C_ARNT2	BHLHE40
BNC2_MA1928.2	C_FOS::JUND	BNC2
BSX_MA0876.2	C_Dlx2	BSX
CDX2_MA0465.3	C_HOXB13	CDX2
CDX4_MA1473.2	C_HOXA10	CDX4
CEBPA_MA0102.5	C_CEBPB	CEBPA
CEBPB_MA0466.4	C_CEBPB	CEBPB
CEBPD_MA0836.3	C_CEBPB	CEBPD
CEBPE_MA0837.3	C_CEBPB	CEBPE
CEBPG_MA1636.2	C_CEBPG	CEBPG
CLOCK_MA0819.3	C_Mlxip	CLOCK
CREB1_MA0018.5	C_FOSL2::JUN	CREB1
CREB3_MA0638.2	C_CREB3	CREB3
CREB3L1_MA0839.2	C_CREB3	CREB3L1
CREB3L4_MA1474.2	C_CREB3L4	CREB3L4
CREB3L4_MA1475.2	C_FOSL2::JUN	CREB3L4
CREM_MA0609.3	C_FOSL2::JUN	CREM
CTCF_MA0139.2	C_CTCF	CTCF
CTCF_MA1929.2	C_CTCF	CTCF
CTCF_MA1930.2	C_CTCF	CTCF
CTCFL_MA1102.3	C_CTCFL	CTCFL
CUX1_MA0754.3	C_ONECUT3	CUX1
HOXB13_MA0901.3	C_HOXB13	HOXB13
CUX2_MA0755.2	C_ONECUT3	CUX2
DBP_MA0639.2	C_DBP	DBP
DLX1_MA0879.3	C_Dlx2	DLX1
DLX6_MA0882.2	C_mix-a	DLX6
DMRT3_MA0610.2	C_DMRT3	DMRT3
DMRTA1_MA1707.2	C_DMRTA1	DMRTA1
DMRTA2_MA1478.2	C_DMRTA2	DMRTA2
DMRTC2_MA1479.2	C_DMRTC2	DMRTC2
DPRX_MA1480.2	C_DPRX	DPRX
DRGX_MA1481.2	C_mix-a	DRGX
E2F2_MA0864.3	C_E2F4	E2F2
E2F3_MA0469.4	C_E2F3	E2F3
ONECUT2_MA0756.3	C_ONECUT3	ONECUT2
E2F4_MA0470.3	C_E2F4	E2F4
E2F6_MA0471.3	C_E2F6	E2F6
E2F8_MA0865.3	C_E2F8	E2F8
EBF1_MA0154.5	C_EBF1	EBF1
EBF3_MA1637.2	C_EBF3	EBF3
EGR1_MA0162.5	C_EGR1	EGR1
EGR3_MA0732.2	C_EGR1	EGR3
EGR4_MA0733.2	C_EGR1	EGR4
EHF_MA0598.4	C_GABPA	EHF
ELF1_MA0473.4	C_GABPA	ELF1
ELF2_MA1483.3	C_ELF2	ELF2
ELF3_MA0640.3	C_GABPA	ELF3
ELK1_MA0028.3	C_ETS1	ELK1
EOMES_MA0800.2	C_TBX2	EOMES
ETV7_MA1708.2	C_GABPA	ETV7
